Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points)
mousesports,4,G2,16,nuke,57,341,67
G2,17,mousesports,19,inf,51.2,67,341
Cloud9,8,fnatic,16,mrg,62.4,84,183
G2,16,Astralis,14,inf,51.2,67,1000
Virtus.pro,22,FaZe,20,trn,,67,451
Astralis,16,G2,12,mrg,69.7,1000,67
FaZe,16,Virtus.pro,8,inf,62.3,451,67
North,6,Heroic,16,inf,57.6,280,117
Virtus.pro,12,Astralis,16,cch,,280,1000
Heroic,16,North,11,nuke,66.3,117,280
Astralis,16,Virtus.pro,8,inf,71.9,1000,280
FaZe,12,mousesports,16,inf,62.3,451,341
mousesports,16,FaZe,10,mrg,61.8,341,451
Liquid,19,Cloud9,16,inf,63.6,455,84
Cloud9,7,Liquid,16,mrg,62.4,84,455
G2,14,Space Soldiers,16,cch,56.2,67,455
Space Soldiers,16,G2,5,cbl,,67,67
NiP,16,AGO,10,cch,60.1,352,67
AGO,12,NiP,16,trn,,352,352
Heroic,19,HellRaisers,15,mrg,55,117,129
HellRaisers,16,Heroic,4,inf,54.8,129,117
AGO,12,Natus Vincere,16,mrg,,129,558
Natus Vincere,16,AGO,9,ovp,64.3,558,558
Space Soldiers,8,Natus Vincere,16,mrg,,558,558
Natus Vincere,6,Space Soldiers,16,inf,53.9,558,558
mousesports,13,North,16,trn,54.4,341,280
North,8,mousesports,16,inf,57.6,280,341
G2,16,Virtus.pro,12,nuke,62.1,67,341
Heroic,9,fnatic,16,cbl,53.4,117,183
NiP,10,North,16,inf,60.3,352,280
Liquid,16,Gambit,10,mrg,56.7,455,60
Renegades,13,Astralis,16,trn,52.9,109,1000
Space Soldiers,10,NiP,16,cch,,109,352
fnatic,16,G2,10,inf,67.2,183,67
NiP,19,Space Soldiers,15,trn,68.3,352,67
G2,10,fnatic,16,cch,56.2,67,183
North,16,Natus Vincere,10,inf,57.6,280,558
Heroic,16,Astralis,14,mrg,55,117,1000
Natus Vincere,16,North,8,trn,65,558,280
Astralis,10,Heroic,16,nuke,75.7,1000,117
NiP,14,fnatic,16,inf,60.3,352,183
FaZe,16,AGO,11,cch,54.6,451,183
fnatic,16,NiP,10,cbl,65.2,183,352
AGO,7,FaZe,16,trn,,183,451
AGO,8,G2,16,cbl,,183,67
G2,16,AGO,12,cch,56.2,67,67
Astralis,16,mousesports,14,inf,71.9,1000,341
fnatic,11,HellRaisers,16,inf,67.2,183,129
HellRaisers,22,fnatic,19,ovp,55.9,129,183
mousesports,16,Astralis,9,mrg,61.8,341,1000
FaZe,23,Natus Vincere,25,mrg,62.8,451,558
Heroic,5,Space Soldiers,16,trn,49.6,117,558
Natus Vincere,16,FaZe,6,inf,53.9,558,451
Space Soldiers,16,Heroic,1,cbl,,558,117
SK,7,Cloud9,16,trn,,558,84
Cloud9,13,SK,16,inf,53.4,84,84
Astralis,22,FaZe,20,trn,63.6,1000,451
FaZe,14,Astralis,16,inf,62.3,451,1000
HellRaisers,16,Natus Vincere,14,ovp,55.9,129,558
mousesports,16,fnatic,11,ovp,52.8,341,183
Natus Vincere,16,HellRaisers,6,inf,53.9,558,129
fnatic,7,mousesports,16,mrg,61.4,183,341
FaZe,16,G2,13,ovp,61.2,451,67
G2,11,FaZe,16,cch,56.2,67,451
Cloud9,16,SK,2,inf,53.4,84,451
mousesports,16,Space Soldiers,13,mrg,61.8,341,451
Vega Squadron,4,Cloud9,16,mrg,60.9,101,84
fnatic,16,Gambit,2,mrg,61.4,183,60
fnatic,7,Natus Vincere,16,inf,67.2,183,558
Gambit,10,SK,16,ovp,58.1,60,558
Liquid,12,Vega Squadron,16,inf,63.6,455,101
Astralis,6,Cloud9,16,trn,63.6,1000,84
Space Soldiers,13,Gambit,16,trn,,1000,60
Virtus.pro,7,Cloud9,16,mrg,,1000,84
SK,12,FaZe,16,cch,,1000,451
fnatic,16,Astralis,8,mrg,61.4,183,1000
Liquid,9,Natus Vincere,16,ovp,56,455,558
mousesports,16,Vega Squadron,3,mrg,61.8,341,101
Astralis,16,North,14,trn,63.6,1000,280
Virtus.pro,6,fnatic,16,inf,,1000,183
SK,16,mousesports,12,mrg,,1000,341
G2,16,Liquid,8,inf,51.2,67,455
FaZe,16,Vega Squadron,3,trn,57.5,451,101
Space Soldiers,16,Cloud9,13,cbl,,451,84
SK,16,Space Soldiers,13,mrg,,451,84
Gambit,16,Natus Vincere,5,nuke,54.5,60,558
Cloud9,8,G2,16,cch,61.6,84,67
Astralis,2,mousesports,16,cch,58.5,1000,341
fnatic,8,FaZe,16,cch,62.6,183,451
North,10,Vega Squadron,16,ovp,57.8,280,101
Natus Vincere,16,Liquid,5,inf,53.9,558,455
mousesports,16,Renegades,4,mrg,61.8,341,109
FaZe,16,Natus Vincere,4,trn,57.5,451,558
mousesports,5,Cloud9,16,trn,54.4,341,84
Renegades,14,Liquid,16,cbl,56.9,109,455
Misfits,5,G2,16,cbl,,109,67
Envy,6,Renegades,16,cch,,109,109
mousesports,16,Natus Vincere,2,mrg,61.8,341,558
Cloud9,16,Envy,11,cch,61.6,84,558
FaZe,16,Liquid,14,ovp,61.2,451,455
Astralis,16,FaZe,13,ovp,66.7,1000,451
FaZe,16,Liquid,12,mrg,62.8,451,455
Cloud9,11,Astralis,16,trn,67.6,84,1000
fnatic,16,OpTic,2,cbl,65.2,183,156
OpTic,16,mousesports,4,mrg,58.7,156,341
North,15,NiP,19,inf,57.6,280,352
SK,16,NiP,9,ovp,,280,352
North,16,OpTic,11,ovp,57.8,280,156
fnatic,16,Astralis,7,inf,67.2,183,1000
fnatic,22,Liquid,18,mrg,61.4,183,455
FaZe,16,Astralis,5,mrg,62.8,451,1000
SK,14,OpTic,16,mrg,,451,156
NiP,16,OpTic,14,cbl,57.8,352,156
North,7,SK,16,ovp,57.8,280,156
FaZe,16,Liquid,14,mrg,62.8,451,455
Astralis,20,Liquid,22,mrg,69.7,1000,455
fnatic,19,FaZe,15,inf,67.2,183,451
mousesports,12,Envy,16,trn,54.4,341,451
Gambit,31,Natus Vincere,28,inf,54,60,558
Heroic,11,Natus Vincere,16,ovp,53.9,117,558
Astralis,16,FaZe,14,inf,71.9,1000,451
North,12,SK,16,mrg,60,280,451
G2,16,NiP,7,cbl,55.7,67,352
SK,8,FaZe,16,mrg,,67,451
Astralis,16,G2,4,ovp,66.7,1000,67
NiP,16,North,2,trn,68.3,352,280
